,Status,Life expectancy,Adult Mortality,BMI,HIV/AIDS,Diphtheria,Polio,GDP,Income composition of resources,Schooling
2259,Developing,65.0,242.0,19.5,0.7,84.0,84.0,773.8698713,0.415,6.4
2366,Developing,68.3,188.0,46.4,0.1,9.0,94.0,1272.44825,0.492,9.3
1200,Developing,62.9,222.0,11.8,0.3,59.0,58.0,447.138966,0.494,8.3
62,Developing,45.7,44.0,15.8,2.1,38.0,41.0,526.168743,0.391,5.1
2150,Developing,65.0,37.0,54.0,0.2,96.0,97.0,1771.58662,0.709,12.1
1141,Developing,74.1,151.0,48.4,0.4,97.0,97.0,2178.38325,0.614,11.6
401,Developing,59.3,268.0,18.8,0.6,91.0,91.0,75.1464113,0.398,7.7
1116,Developing,65.0,238.0,39.0,1.8,93.0,93.0,198.455216,0.619,11.4
1978,Developing,62.2,284.0,46.4,1.0,74.0,81.0,271.318741,0.501,9.9
158,Developing,67.5,151.0,42.6,0.1,77.0,77.0,73.6838434,0.642,10.4
827,Developing,75.0,211.0,5.1,0.2,96.0,96.0,362.951768,0.651,12.9
1107,Developing,66.0,217.0,45.9,0.3,98.0,97.0,43.82321,0.636,10.3
476,Developing,63.0,268.0,13.1,1.9,69.0,69.0,362.4213785,0.445,9.3
331,Developing,75.5,99.0,49.9,0.1,84.0,87.0,265.642661,0.0,12.3
679,Developed,79.3,6.0,57.3,0.1,99.0,99.0,3215.8159,0.849,14.1
2819,Developing,76.2,117.0,58.9,0.1,95.0,95.0,5877.87678,0.756,15.2
652,Developed,75.4,114.0,56.9,0.1,96.0,96.0,9365.742468,0.771,13.3
361,Developing,73.0,161.0,48.6,0.1,99.0,99.0,586.145975,0.698,13.8
1529,Developed,71.1,224.0,59.3,0.1,96.0,96.0,14961.56818,0.82,16.5
1557,Developing,64.3,235.0,19.0,0.4,7.0,71.0,443.9611,0.506,10.2
325,Developing,76.4,94.0,53.1,0.1,89.0,9.0,4611.47298,0.717,13.3
2708,Developing,63.5,238.0,4.0,0.1,97.0,98.0,1453.917166,0.0,10.3
2851,Developing,71.0,161.0,45.7,0.1,68.0,67.0,247.97823,0.572,10.6
